id,name,alias,alignment,alignment_raw,first_comic_title,first_comic_year,identity_id
374,Captain Marvel / Carol Danvers,Captain Marvel,hero,hero,,,78
375,Star-Lord / Peter Quill,Star-Lord,hero,hero,,,244
376,Doctor Strange / Stephen Strange,Doctor Strange,hero,hero,,,10
377,Black Panther / T'Challa,Black Panther,hero,hero,,,47
378,Daredevil / Matt Murdock,Daredevil,hero,hero,,,7
379,Ms. Marvel / Kamala Khan,Ms. Marvel,hero,hero,,,186
380,She-Hulk / Jennifer Walters,She-Hulk,hero,hero,,,139
381,Kang the Conqueror,,villain,villain,,,148
382,"Howard the Duck / ""Iron Duck""",Howard the Duck,hero,hero,,,124
383,Aunt May Parker,,neutral,neutral,Amazing Fantasy #15,1962,61
384,Martin Li / Mister Negative,Martin Li,villain,villain,Free Comic Book Day,2007,177
385,Yuri Watanabe,,neutral,neutral,Free Comic Book Day,2010,42
386,Silver Sable / Silver Sablinova,Silver Sable,neutral,neutral,Amazing Spider-Man #265,1985,30
387,Electro / Max Dillon,Electro,villain,villain,Amazing Spider-Man #9,1964,12
388,Rhino / Aleksei Sytsevich,Rhino,villain,villain,Amazing Spider-Man #41,1966,24
389,Vulture / Adrian Toomes,Vulture,villain,villain,Amazing Spider-Man #2,1963,40
390,Shocker / Herman Schultz,Shocker,villain,villain,Amazing Spider-Man #46,1967,27
391,Taskmaster / Tony Masters,Taskmaster,villain,villain,Avengers #195,1980,247
392,Screwball,,villain,villain,Amazing Spider-Man #559,2008,227
393,Tombstone / Lonnie Lincoln,Tombstone,villain,villain,Web of Spider-Man #36,1988,38
394,Black Cat / Felicia Hardy (DLC),Black Cat,neutral,neutral,Amazing Spider-Man #194,1979,3
395,Hammerhead (DLC),Hammerhead,villain,villain,Amazing Spider-Man #113,1972,119
396,Walter Hardy (DLC),Walter Hardy,neutral,neutral,Amazing Spider-Man #1,1963,262
397,Ganke Lee,,neutral,neutral,Ultimate Spider-Man #2,2011,110
398,Phin Mason / Tinkerer,Phin Mason,villain,villain,,,37
399,Simon Krieger,,villain,villain,Iron Man #219,1987,231
400,Danika Hart,,neutral,neutral,Miles Morales: Spider-Man #1,2019,87
401,Hailey Cooper,,neutral,neutral,,,118
402,Rick Mason,,neutral,neutral (deceased),,,214
403,Venom / Harry Osborn (symbiote),Venom,villain,villain,Amazing Spider-Man #299 (1988) / #136,1974,257
404,Kraven the Hunter / Sergei Kravinoff,Kraven the Hunter,villain,villain,Amazing Spider-Man #15,1964,18
405,Cletus Kasady / The Flame,Cletus Kasady,villain,villain,Amazing Spider-Man #344,1991,249
406,Dmitri Smerdyakov / Chameleon,Dmitri Smerdyakov,villain,villain,Amazing Spider-Man #1,1963,6
407,Yuri Watanabe / Wraith,Yuri Watanabe,antihero,antihero,Free Comic Book Day,2010,42
408,Aunt May (flashback),Aunt May,neutral,neutral,Amazing Fantasy #15,1962,1
409,Jefferson Davis (dream),Jefferson Davis,neutral,neutral,,,137
410,Cindy Moon,,neutral,"neutral (cameo, post-credits)",,,29
411,Albert Moon,,neutral,neutral (cameo),,,51
412,"Scream / Mary Jane (symbiote, temporary)",Scream,villain,villain (temp),Web of Spider-Man #?,1986,169
413,"Delilah (cameo, alternate universe)",Delilah,neutral,neutral,,,90
414,Black Cat / Felicia Hardy,Black Cat,antihero,antihero,Amazing Spider-Man #194,1979,3
415,Walter Hardy,,neutral,neutral (reformed thief),Amazing Spider-Man #1,1963,262
416,Maggia crime families,,villain,villains (group),,,161
